#=================================================================
# To inform search term selections on loc.gov home page
# Report suite: National Library (LOC Main)
"# Date: Nov 1, 2023 - Nov 30, 2023"
# Segments: Search: P1 Search
#=================================================================


##############################################
# Top Search Terms (U.S.) - Search Term (conversion) (50000 items out of 481831)
##############################################
,Search Term (conversion) Instances
political parades & rallies,27
lockhart texas,27
the occupation of constantinople,27
apocalypse,27
cuban refugee,27
ucc,27
b-17 bomber,27
greenwich village,27
auburn prison,27
pro-immigration political cartoon collection,27
tybee,27
delivery,27
homesteaders,27
trenton new jersey,27
nickelodeon,27
middle class,27
"washington county, pennsylvania",27
nineteen sixties,27
cybernetics,27
manchester,27
south carolina map,27
pupils with special needs education,27
texas panhandle,27
tepee,27
anne arundel county,27
world’s fair,27
blair,27
evelyn sharp,27
100 anos do rio yacht club,27
calcutta,27
how the other half live,27
the roaring 20s,27
alice roosevelt,27
hawaii sugar,27
ambrotype,27
seattle 1935,27
sign,27
cambodian genocide,27
vicksburg national military park,27
bob hope,27
the emancipation proclamation,27
picket,27
philosophy of mind,27
coins,27
jazz clubs,27
the man who shot liberty valance,27
sad women,27
united states 19th century,27
progressive movement,27
um casamento arranjado,27
us news and world report,27
eve project,27
civil-rights movement,27
rocky mountain national park,27
rabbits,27
university map,27
oil painting,27
"""chester illinois""",27
encampment,27
"marathon county, wi",27
society,27
"mt. vernon, wa",27
supernatural,27
tunnel,27
child laborers,27
economist,27
kasza,27
ocean city nj,27
equal rights ammendment,27
"""colorado county""",27
spinning jenny,27
the black panther party,27
"richmond, california",27
babies,27
mare island cripples vallejo,27
miami beach,27
"""national child labor committee""",27
lb3479.u6 l48 2008,27
habs maine,27
birmingham,27
80th infantry division,27
gabriel garcia marquez,27
general stores,27
gadd,27
slaughterhouse,27
philadelphia newspapers,27
fortune-telling,27
lawrenceburg indiana,27
tartarie,27
taylor,27
ants,27
parks and service,27
susan decatur,27
chain gang,27
"""jacob fiscus""",27
1619 broadway,27
markets,27
baltimore history,27
"""archibald robertson""",27
hogs,27
nola,27
pain,27
ancient china,27
guantanamo bay naval base (cuba),27
thousand islands,27
battle of nashville,27
bread & soup lines,27
tehuantepec,27
talking,27
fentanyl,27
"""everett morrison""",27
louis rosenfeld kidnapping,27
land,27
norman lenz,27
port-au-prince,27
columbia river,27
10th cavalry,27
mansa musa,27
charles curtis,27
apollo,27
shoemaker shop,27
westerly ri john j donahue,27
alphonse mucha,27
"portland, oregon",27
keystone view company,27
"san francisco, earthquake",27
olmec,27
"american imperialism,",27
maya,27
毛泽东,27
"""foul copy""",27
landowners,27
nuclear demonstrations,27
nassau,27
"norfolk, norfolk county massachusetts",27
saas-fee (switzerland),27
dinardo,27
medical doctor,27
american industrial revolution,27
hot air balloons,27
toilet,27
6 million jews,27
nativism,27
edinburg texas,27
wasp,27
gurage,27
"""priscilla maxwell""",27
uaw,27
what girls are good for pittsburgh dispatch,27
sacred poems,27
action,27
weissenfels,27
daniel joudrey,27
daytona,27
"""cora e. chase""",27
texture,27
new deal poster,27
1960 to 1969,27
red sea,27
playing cards,27
tourist,27
podcast,27
ekaterinoslav,27
chemical equation,27
social security administration,27
blackface,27
tantura,27
oscoda county,27
paper currency,27
night,27
spouses,27
lakeland,27
bird's-eye views,27
charcoal,27
topography,27
"""b e spivy""",27
officer,27
chadwick,27
new york city 1830,27
topkapi palace,27
star-spangled banner (song),27
norfolk nebraska,27
"""philadelphia"" ""chinatown""",27
erotica,27
singer,27
miniature,27
ibn,27
the transcontinental railroad,27
yearbook,27
inductive logic,27
editor,27
hispanic,27
brussels,27
planning,27
world series,27
fashion plate,27
dianne feinstein,27
guns,27
exploration,27
freedom of speech,27
magnolia,27
new york riot,27
titan 1,27
chinese women disease,27
iron lung,27
battle of germantown,27
smoky mountains,27
ellenville,27
"long island, battle of, new york, n.y.",27
old abe,27
electoral college,27
sanborn fire map new orleans vol. 4,27
papers,27
typewriters,27
cash registers,27
cycling,27
annexation of texas,27
sustainability,27
gelatin silver prints,27
family life,27
"adams, abigail",27
indian citizenship act,27
kurrachee,27
ingersoll lockwood.,27
stroud,27
"steffy ""family bible""",27
japanese painting,27
education reform,27
the camera degli sposi,27
açores,27
black mountain college,27
sioux indians,27
knight,27
dred scott decision,27
northern california,27
irish americans,27
sustainable development,27
celery,27
mentalism,27
"blackwell, elizabeth",27
palm springs,27
woody guthrie,27
arabic manuscripts,27
king tut,27
"polish declarations of admiration and friendship for the united states,",27
free masonry,27
zoology,26
stage,26
griswold v connecticut,26
lake charles,26
javanese,26
1812,26
frances willard,26
gun violence,26
monopolies,26
neon signs,26
*,26
11th century,26
"the stock market crash of 1929,",26
eniac,26
alphabet books,26
event,26
sanborn detroit,26
ocean city fire,26
da vinci,26
veterans injured battle,26
"camp lejeune, north carolina",26
relationships,26
mummy,26
photoprint,26
nuclear power plants,26
żoliborz,26
animal pictures,26
indian reorganization act of 1934,26
colonization.,26
frank a. munroe jr.,26
strohm,26
gavrilo princip,26
hudson,26
real estate aquisition,26
designer,26
labor relation management and negotiations second edition,26
mission,26
blackfeet and glacier national park,26
pigeon forge,26
consumerism,26
ar 600-20,26
stono's rebellion,26
dice,26
palestine food,26
"london, england)",26
slavery and truth : the institution of slavery presents itself to sane minds in these two aspects. religious and political. the former more particularly concerns the church - the latter the state ...,26
amazon deforestation,26
atlanta university,26
chicago roofs,26
expansion,26
mill girls,26
apple computers,26
bolsheviks,26
kamasutra,26
jacksonian democracy,26
forced sterilization,26
4d printing,26
[rosalynn carter],26
women's suffrage in europe,26
cybercrime scam,26
robert fulton,26
gilmer maps,26
antonio lujan,26
mines,26
new york tenement,26
cemeteries,26
charity,26
lilies,26
western farm,26
"thompson, edward h.",26
carnegie,26
orphans,26
whites + only,26
ancient mysteries,26
rwanda genocide,26
japanese americans being relocated,26
广州,26
mahone,26
panorama new york city,26
jazz musician,26
the legend of sleepy hollow,26
criminals,26
croxton,26
boston tea,26
department of state bulletin,26
brewery,26
cards,26
ping pong diplomacy,26
advertisments,26
1763,26
phones,26
"""george h. gilbert""",26
environmental aspects,26
lesbians,26
japanese american incarceration,26
que son las tic,26
duck hunter,26
"[the battle of gettysburg - view from the summit of little round top on the evening of thursday, july 2, 1863 ... ]",26
3rd army,26
the first thanksgiving,26
a.m. addison,26
virgen de guadalupe,26
ash,26
salary table,26
black soldiers,26
tombstone,26
farm bill,26
1942,26
anderson south carolina,26
gershwin,26
santos benavides,26
clothing trade,26
black canada,26
a veteran that was injured in action,26
mérida (mexico),26
stereoscopic,26
manifest destiny;,26
zuni,26
confessions of a young novelist,26
spiral,26
irish brigade,26
railways,26
camp,26
marion indiana,26
ward,26
homes,26
méat,26
richard byrd,26
dane county wisconsin,26
"the terrible plague of locusts in palestine, march-june 1915",26
george moneypenny kansas,26
a calendar box of good dinners fannie meritt farmer,26
jazz band,26
recycling,26
ohio river,26
mdatefacet:2020s,26
university of north carolina,26
invisible girl steals clothes to fit in,26
fall of berlin wall,26
"""central pacific railroad""",26
yanes,26
emigration and immigration,26
texas maps,26
hispaniola map,26
dick powell,26
drakensberg mountains,26
cublic air law,26
towers,26
faith,26
mexican culture,26
82nd airborne,26
bethel,26
poughkeepsie,26
"hudson, nj",26
flying,26
volkswagen beetle,26
"farrington, chatham county",26
children's,26
the mayflower,26
zimmermann telegram,26
dryer,26
sherman,26
göring,26
ziegfeld follies,26
secrets,26
black cowboys,26
"""grace julian clarke""",26
placer mining,26
chatgpt,26
political science,26
childrens literature center,26
cashier,26
powder river,26
the sugar act,26
fdr new deal,26
tobacco field,26
roads to freedom,26
skyline,26
navajo code talkers new mexico,26
electric,26
most christian king,26
francois xavier simeon,26
african american soldier,26
1973,26
"""duality of the mind""",26
congressional record,26
dismal swamp,26
christmas ornament designs,26
antigua,26
apothecary,26
audience,26
customer service,26
silver city nevada,26
freemasons,26
tap dance,26
james radtke collection,26
european southern observatory,26
brest,26
kidnapping,26
"keppler, udo j.",26
"richard crowe, merchant",26
gen. edwin b. winans,26
carlos montier,26
marbled,26
st.kitts and nevis,26
databases,26
reinhart,26
reims,26
"handel, george frideric",26
tennessee railroads,26
schloh,26
barber shops,26
media bias,26
the attack on pearl harbor,26
italian american,26
wejherowo,26
motherhood,26
epa,26
seabrook farms 1946,26
great awakening,26
federalist,26
parka,26
login,26
found,26
netherlands,26
france louisiane,26
negro indians,26
widelux,26
loneliness,26
toy and movable books,26
self help,26
new york map,26
valenciennes,26
peanuts,26
1776,26
battle of cowpens,26
1990's,26
old earth,26
freedom is not free,26
timothy o'sullivan,26
movie theaters,26
shawnee,26
comstock,26
wwi casualties,26
haymarket riot,26
hunter,26
transportation revolution,26
knees,26
musicals,26
code talkers,26
new years eve,26
kanye west,26
turkish wrestler,26
etowah,26
"san diego, california",26
sociologist,26
fourth amendment,26
shiloh,26
juan ponce de leon,26
'carol lombard',26
triangle shirtwaist,26
ormsby,26
"long beach, california",26
black veterans,26
quantum,26
digital marketing,26
banks and banking,26
d'entremont,26
punk rock,26
1961 freedom rides,26
native american newspapers,26
history of egypt,26
gas mask,26
bible--geography--maps,26
shahnameh,26
tivoli,26
polio vaccine jonas salk,26
iron man,26
mens heels,26
new year's eve,26
"vicksburg, mississippi",26
crossroads,26
tahlequah,26
texas german painted catholic churches,26
decatur illinois,26
"alexandria, va",26
iphone,26
popular works,26
american imperalim,26
thinking,26
end of slavery,26
sharks,26
war fiction,26
31 outdoor theater in niles michigan,26
directory for poughkeepsie 1900,26
television commercial- shugart,26
dystopia,26
u.s. cybersecurity laws,26
suffragists,26
art noveau,26
algonac,26
guyana,26
aztec calendar,26
film noir,26
multiparty system,26
washington dc ne,26
tax,26
le petit prince,26
mórmon,26
photos 1900,26
titanic sinking,26
"alcott, louisa may",26
lange dorothea,26
"i have a dream ""martin luther king""",26
joseph,26
"""e. clemens horst""",26
technical reports,26
beaverhead county,26
bellevue hospital,26
colonial virginia,26
public domain music,26
dew,26
sedan (france),26
first automobile,26
pinellas county (fla.),26
"""purple martin"" house",26
gourd birdhouse,26
republican banner,26
no known restrictions,26
china boxer,26
physical education,26
relativity,26
irving berlin,26
national organization for women,26
russia commerce,26
data sets,26
benjamin banneker,26
flour mill,26
us navy group china,26
1989,26
la guerra sucia,26
tohono o'odham,26
texas home guard,26
battles of lexington and concord,26
sasakawa peace foundation,26
ulysses s. grant.,26
"boston, mass  [street scene]",26
women's reform,26
caricature,26
cranberry,26
queen liliuokalani,26
mary todd lincoln,26
miner coal,26
morse tape,26
daughters of the american revolution,26
photo equipment you can make,26
guatemala city,25
vivekananda,25
sarah bagley,25
sanborn covington kentucky,25
zebulon pike,25
prince christopher of greece and denmark,25
civil war atlanta,25
saskatchewan,25
noeninger,25
catalina,25
guinness,25
"washington, n. c",25
postal service,25
"biltmore estate (asheville, n.c.)",25
modernism,25
birth certificate,25
the seneca falls convention,25
24th infantry,25
accordion,25
aqsa,25
tanzania,25
ann taylor,25
tapestry,25
immigration gilded age,25
polish refugee,25
